contrast,site_sys,ratio,std.error,df,z.ratio,p.value,loo,SE,asymp.LCL,asymp.UCL
ccrye / no,Central_B42_grain,2.325866163874849,0.83694905306369,Inf,2.345717709572512,0.01899048430493668,18,0.83694905306369,1.2868556416800974,4.203776427630338
ccrye / no,Central_B44_grain,0.8185648856150584,0.30739907389027127,Inf,-0.533114253433544,0.5939544929695542,18,0.30739907389027127,0.4413569453989942,1.5181554951089717
ccrye / no,Central_B44_silage,0.38850649352813776,0.1318384391686275,Inf,-2.7860742097140827,0.0053350656434945415,18,0.1318384391686275,0.22232361666095238,0.678908061052781
ccrye / no,East_S_grain,0.653096985447437,0.25973267650763765,Inf,-1.0712501635458305,0.28405696160765276,18,0.25973267650763765,0.33953512896221866,1.256234292175382
ccrye / no,West_F_grain,0.6993847909786652,0.2548662524736363,Inf,-0.9811733302646647,0.32650727355871056,18,0.2548662524736363,0.38405734452022505,1.2736095086615702
ccrye / no,Central_B42_grain,2.3345195059420547,0.8133867265067302,Inf,2.4333072964884823,0.01496159706370298,19,0.8133867265067302,1.3161500051301058,4.140851196581644
ccrye / no,Central_B44_grain,0.7028372831640978,0.25633314466852475,Inf,-0.9668723229478521,0.33360786408621596,19,0.25633314466852475,0.38576472284378666,1.2805220834190292
ccrye / no,Central_B44_silage,0.3872767287377758,0.12677662948238605,Inf,-2.897827601704569,0.0037575707606698904,19,0.12677662948238605,0.22603501051494926,0.6635399723261602
ccrye / no,East_S_grain,0.6530055079804115,0.251207507087483,Inf,-1.107813911939226,0.2679421906231365,19,0.251207507087483,0.34682478968386943,1.229485913741729
ccrye / no,West_F_grain,0.699460939160827,0.2451128831461462,Inf,-1.0200159260395671,0.30772090766111754,19,0.2451128831461462,0.39303632831371926,1.2447846933406959
ccrye / no,Central_B42_grain,2.3254838179017128,0.8379571321182373,Inf,2.342054373237766,0.01917792075418888,20,0.8379571321182373,1.2856018909918048,4.206492713814155
ccrye / no,Central_B44_grain,0.8326021022659896,0.3109377743167129,Inf,-0.4905554558766168,0.6237408980187721,20,0.3109377743167129,0.4504649609274719,1.5389127253548134
ccrye / no,Central_B44_silage,0.3884198785533298,0.13201032894571244,Inf,-2.7824822022648683,0.005394482396067256,20,0.13201032894571244,0.222084670652941,0.6793355057411999
ccrye / no,East_S_grain,0.6531518984562497,0.2601198771537412,Inf,-1.069534379621871,0.28482894590637864,20,0.2601198771537412,0.33925138746684025,1.2574964118568306
ccrye / no,West_F_grain,0.6994203443727839,0.2553029285428592,Inf,-0.9794056382603372,0.3273795923366368,20,0.2553029285428592,0.3836943345340511,1.2749440742110574
ccrye / no,Central_B42_grain,2.3309756045955723,0.8258515286163923,Inf,2.3886546635650285,0.016910189022522525,21,0.8258515286163923,1.3015092051781365,4.174728267462405
